epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,7353.73,1.22105,0.89482,1.29815,0.93568,0.7817,0.85627,0.60386,1.12188,0.69948,1.26223,0.007723,0.007723,0.007723
71,7458.72,1.20951,0.88643,1.28855,0.93302,0.78161,0.85976,0.6079,1.10498,0.699,1.25759,0.00769,0.00769,0.00769
72,7563.77,1.19562,0.88197,1.27568,0.94036,0.77776,0.85956,0.61755,1.07694,0.67935,1.23431,0.007657,0.007657,0.007657
73,7668.83,1.1912,0.87324,1.27248,0.9475,0.77225,0.8588,0.61468,1.07959,0.67827,1.23781,0.007624,0.007624,0.007624
74,7773.89,1.18966,0.86241,1.27223,0.94707,0.78225,0.86228,0.61733,1.08484,0.67489,1.23586,0.007591,0.007591,0.007591
75,7878.73,1.18146,0.87201,1.26962,0.93418,0.78792,0.86431,0.61832,1.08189,0.66627,1.23725,0.007558,0.007558,0.007558
76,7983.59,1.19286,0.85303,1.27462,0.92699,0.7903,0.86262,0.62811,1.05476,0.66249,1.21345,0.007525,0.007525,0.007525
77,8088.45,1.18136,0.86187,1.26928,0.93952,0.78955,0.86443,0.62462,1.04896,0.66358,1.21566,0.007492,0.007492,0.007492
78,8193.25,1.16356,0.84111,1.25706,0.93074,0.78937,0.86309,0.62046,1.07209,0.65576,1.22064,0.007459,0.007459,0.007459
79,8298.06,1.17614,0.84299,1.26216,0.9392,0.79676,0.86536,0.63313,1.04233,0.6536,1.20768,0.007426,0.007426,0.007426
80,8403.09,1.15344,0.83575,1.25534,0.94153,0.79211,0.86647,0.63174,1.04036,0.65145,1.21757,0.007393,0.007393,0.007393
81,8507.86,1.17271,0.8572,1.26289,0.93992,0.7848,0.86329,0.6318,1.03166,0.6447,1.20144,0.00736,0.00736,0.00736
82,8612.77,1.16163,0.84282,1.25444,0.93881,0.79821,0.86702,0.62523,1.05971,0.64528,1.21537,0.007327,0.007327,0.007327
83,8717.6,1.14989,0.82307,1.24707,0.94052,0.79699,0.86685,0.63229,1.04511,0.63971,1.20803,0.007294,0.007294,0.007294
84,8822.46,1.14224,0.82429,1.2465,0.93941,0.79435,0.8665,0.62904,1.0354,0.63447,1.2092,0.007261,0.007261,0.007261
85,8927.44,1.14306,0.81422,1.24222,0.94192,0.79324,0.86516,0.63183,1.02863,0.63561,1.19651,0.007228,0.007228,0.007228
86,9032.47,1.13457,0.81177,1.23111,0.94075,0.79341,0.86825,0.63523,1.02853,0.63251,1.19196,0.007195,0.007195,0.007195
87,9137.51,1.13495,0.81263,1.23186,0.94391,0.79588,0.86579,0.64157,1.00216,0.63033,1.17593,0.007162,0.007162,0.007162
88,9242.45,1.13697,0.80921,1.22392,0.91792,0.80546,0.86988,0.63807,1.01709,0.63032,1.18573,0.007129,0.007129,0.007129
89,9347.29,1.13034,0.7921,1.22705,0.93522,0.79776,0.87028,0.64111,1.00806,0.62084,1.1799,0.007096,0.007096,0.007096
90,9452.21,1.13346,0.80858,1.2273,0.93365,0.79684,0.86855,0.64231,1.00196,0.61877,1.17772,0.007063,0.007063,0.007063
91,9557.18,1.12619,0.81134,1.22417,0.94099,0.79852,0.86911,0.64365,1.00427,0.60444,1.18136,0.00703,0.00703,0.00703
92,9662.1,1.13024,0.8057,1.2288,0.94405,0.7984,0.87018,0.64861,0.98713,0.60254,1.16943,0.006997,0.006997,0.006997
93,9767,1.10767,0.78556,1.20971,0.93709,0.79995,0.87001,0.6453,0.99987,0.61182,1.17408,0.006964,0.006964,0.006964
94,9872,1.11637,0.78911,1.22306,0.93321,0.80326,0.87119,0.64648,0.99834,0.60357,1.16688,0.006931,0.006931,0.006931
95,9977.06,1.10501,0.7847,1.20979,0.95119,0.79374,0.86953,0.65148,0.98261,0.60776,1.15879,0.006898,0.006898,0.006898
96,10082,1.10157,0.77433,1.20851,0.92947,0.80885,0.87075,0.65111,0.981,0.60803,1.15908,0.006865,0.006865,0.006865
97,10186.9,1.11888,0.79323,1.21707,0.9404,0.79953,0.86889,0.64701,0.99022,0.6051,1.16218,0.006832,0.006832,0.006832
98,10291.7,1.09176,0.77665,1.20433,0.94507,0.79714,0.86945,0.65012,0.98427,0.59914,1.1609,0.006799,0.006799,0.006799
99,10396.7,1.09475,0.77099,1.2037,0.93677,0.80771,0.87118,0.65187,0.97261,0.59355,1.15174,0.006766,0.006766,0.006766
100,10501.6,1.09609,0.77838,1.20736,0.94446,0.80876,0.8729,0.65525,0.97164,0.59608,1.15278,0.006733,0.006733,0.006733
101,10606.3,1.09018,0.76848,1.20545,0.93477,0.80327,0.87224,0.65572,0.97161,0.59193,1.14993,0.0067,0.0067,0.0067
102,10711.1,1.07831,0.75266,1.19355,0.93924,0.80408,0.87469,0.6595,0.96285,0.59541,1.1475,0.006667,0.006667,0.006667
103,10816,1.09392,0.75742,1.20314,0.93755,0.80459,0.87423,0.66025,0.96017,0.5966,1.14615,0.006634,0.006634,0.006634
104,10921.1,1.082,0.76319,1.19681,0.94142,0.81016,0.87671,0.65895,0.97001,0.58918,1.1473,0.006601,0.006601,0.006601
105,11026.1,1.08262,0.75139,1.18844,0.95424,0.796,0.87594,0.66043,0.96179,0.5833,1.14215,0.006568,0.006568,0.006568
